time_s,target_x_mm,target_y_mm,target_z_mm,achieved_x_mm,achieved_y_mm,achieved_z_mm,position_error_mm,J1_deg,J2_deg,J3_deg,J4_deg,J5_deg,J6_deg,J1_us,J2_us,J3_us,J4_us,J5_us,J6_us
2.36,406.030466083011,126.350031971301,209.205873713539,406.030466083011,126.350031971301,209.205873713539,6.51223174224333e-14,17.285286342185,77.3829048315113,-112.727924522382,35.3450196908706,0,0,1418.03915809026,2173.20670245564,2315.02166312876,1771.81496067312,1610,1540
2.4,405.391070350017,124.861882464969,209.021130325903,405.391070350017,124.861882464969,209.021130325903,5.6843418860808e-14,17.1190172933128,77.5382927509713,-112.967972756249,35.4296800052777,0,0,1416.80753550602,2174.35772408127,2316.79979819444,1772.44207411317,1610,1540
2.44,404.79303827015,123.262269715235,208.817615379085,404.79303827015,123.262269715235,208.817615379084,5.6843418860808e-14,16.9358538411761,77.6896527249556,-113.20692623512,35.5172735101641,0,0,1415.4507691939,2175.47890907375,2318.56982396385,1773.0909148901,1610,1540
2.48,404.235610935063,121.553218544029,208.595529717765,404.235610935063,121.553218544029,208.595529717765,5.6843418860808e-14,16.7359767459885,77.836808025693,-113.44456313044,35.6077551047465,0,0,1413.97019811843,2176.56894833847,2320.33009726251,1773.76114892405,1610,1540
2.52,403.717919886895,119.736806329502,208.35509251368,403.717919886895,119.736806329502,208.35509251368,5.6843418860808e-14,16.5195832623117,77.9795853713928,-113.680662936031,35.7010775646381,0,0,1412.36728342453,2177.62655830661,2322.07898471134,1774.45242640473,1610,1540
2.56,403.238993849864,117.81516123603,208.09654104932,403.238993849864,117.81516123603,208.09654104932,8.16351451723282e-14,16.2868869443883,78.1178151911626,-113.915006613632,35.7971914224698,0,0,1410.64360699547,2178.6504828975,2323.81486380469,1775.16438090718,1610,1540
2.6,402.797765686146,115.790460635367,207.820130483767,402.797765686146,115.790460635367,207.820130483767,0,16.0381174353906,78.2513318923917,-114.147376737419,35.8960448450269,0,0,1408.80086989178,2179.6394954992,2325.53612398088,1775.89662848168,1610,1540
2.64,402.393079547045,113.664929702716,207.526133600877,402.393079547045,113.664929702716,207.526133600877,2.8421709430404e-14,15.7735202407895,78.3799741301477,-114.377557637766,35.9975835076188,0,0,1406.84089067252,2180.59240096406,2327.24116768716,1776.6487667231,1610,1540
2.68,402.023698190861,111.440840170727,207.214840540079,402.023698190861,111.440840170727,207.214840540079,6.51223174224333e-14,15.493356486071,78.5035850780773,-114.605335544531,36.1017504664533,0,0,1404.76560360053,2181.50803761539,2328.92841144097,1777.42037382558,1610,1540
2.72,401.688310439239,109.120509223864,206.88655851004,401.688310439239,109.120509223864,206.88655851004,8.5265128291212e-14,15.1979026590363,78.6220127002436,-114.830498730082,36.2084860298388,0,0,1402.5770567336,2182.38527926106,2330.5962868895,1778.21100762844,1610,1540
2.76,401.385538744318,106.706298515207,206.541611485491,401.385538744318,106.706298515207,206.541611485491,5.6843418860808e-14,14.8874503369421,78.7351100232791,-115.052837652366,36.317727629087,0,0,1400.27740990327,2183.22303720948,2332.24324186938,1779.0202046599,1610,1540
